"y","x1","x2","x3","x4","x5","x6","x7"
92.81,93.27,93.68,-10.26,4,7,-3,11
92.81,93.26,93.72,-14.26,4,7,-3,11
92.81,93.25,93.68,-14.86,4,9,-5,13
92.72,93.17,93.64,-15.31,4,9,-5,13
92.76,93.18,93.63,-11.78,5,10,-5,15
92.54,92.98,93.59,-11.78,5,10,-5,15
92.76,93.22,93.7,-12.68,5,13,-8,18
92.72,93.16,93.61,-14.23,5,13,-8,18
92.65,93.08,93.59,-14.23,5,13,-8,18
92.85,93.27,93.68,-12.81,5,12,-7,17
92.94,93.39,93.92,-12.87,5,14,-9,19
93.01,93.44,93.96,-14.3,6,14,-8,20
93.14,93.56,94.06,-12.8,9,14,-5,23
93.23,93.69,94.15,-13.16,6,11,-5,17
93.57,94.02,94.45,-6.41,10,14,-4,24
93.53,93.97,94.37,-14.19,6,13,-7,19
93.61,94.06,94.49,-8.74,8,13,-5,21
93.6,94.01,94.45,-10.04,7,15,-8,22
93.35,93.77,94.2,-8.77,10,15,-5,25
93.18,93.61,93.9,-7.11,11,14,-3,25
92.89,93.33,93.76,-6.36,8,14,-6,22
92.83,93.27,93.7,-5.96,9,13,-4,22
92.8,93.24,93.65,-5.63,11,13,-2,24
92.9,93.34,93.75,-5.46,11,12,-1,23
92.95,93.39,93.87,-3.49,12,12,0,24
93.1,93.52,93.94,-4.09,10,14,-4,24
92.86,93.29,93.69,-6.29,9,14,-5,23
92.91,93.34,93.77,-5.38,10,12,-2,22
92.94,93.37,93.82,-5.08,12,11,1,23
92.9,93.38,93.82,-5.18,12,11,1,23
92.96,93.43,93.82,-3.28,13,11,2,24
92.87,93.29,93.82,-3.28,13,11,2,24
92.79,93.22,93.68,-3.23,13,11,2,24
92.73,93.19,93.63,-3.17,13,11,2,24
92.7,93.15,93.58,-3.17,13,11,2,24
92.74,93.2,93.58,-3.17,13,11,2,24
92.72,93.14,93.58,-3.17,13,11,2,24
92.52,92.95,93.39,-3.17,13,11,2,24
92.61,93.07,93.48,-3.32,13,11,2,24
92.64,93.12,93.52,-3.32,13,11,2,24
92.7,93.15,93.6,-3.32,13,11,2,24
92.82,93.28,93.7,-3.32,13,11,2,24
92.84,93.3,93.71,-3.32,13,11,2,24
92.82,93.27,93.71,-3.32,13,11,2,24
92.91,93.36,93.81,-3.32,13,11,2,24
92.9,93.33,93.81,-3.32,13,11,2,24
92.86,93.3,93.81,-3.62,13,12,1,25
92.97,93.41,93.79,-3.62,13,12,1,25
92.89,93.33,93.79,-3.57,13,12,1,25
92.75,93.24,93.65,-3.27,14,11,3,25
92.74,93.12,93.63,-3.27,14,11,3,25
92.81,93.26,93.65,-3.37,14,12,2,26
92.73,93.21,93.6,-3.26,15,12,3,27
92.65,93.1,93.61,-3.31,14,13,1,27
92.58,93.06,93.5,-3.31,14,13,1,27
92.52,92.99,93.46,-4,13,15,-2,28
92.66,93.16,93.48,-20.6,12,18,-6,30
92.53,93,93.44,-21.3,11,19,-8,30
92.63,93.12,93.43,-21.8,11,20,-9,31
92.75,93.18,93.63,-21.81,11,20,-9,31
92.87,93.34,93.7,-21.65,11,19,-8,30
92.78,93.2,93.53,-21.46,9,20,-11,29
93.04,93.46,93.85,-22.52,10,19,-9,29
92.89,93.31,93.72,-21.82,10,19,-9,29
92.87,93.27,93.73,-24.11,11,17,-6,28
